BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
46,45,15,11,0,10,0,71,56
61,41,10,10,0,5,0,76,51
61,41,7,10,0,8,0,76,51
55,43,11,11,0,7,0,73,54
54,48,10,12,0,3,0,67,60
56,44,8,11,0,8,0,72,55
58,44,9,7,0,9,0,76,51
52,52,8,9,0,6,0,66,61
38,56,11,14,0,8,0,57,70
56,41,10,11,0,9,0,75,52
59,41,9,11,0,7,0,75,52
55,46,10,11,0,5,0,70,57
50,47,13,10,0,7,0,70,57
46,50,9,14,0,8,0,63,64
61,44,9,8,0,5,0,75,52
44,54,9,13,0,7,0,60,67
54,43,10,13,0,7,0,71,56
59,44,10,8,0,6,0,75,52
51,49,10,10,0,7,0,68,59
52,48,11,10,0,6,0,69,58
60,44,10,7,0,6,0,76,51
55,42,14,10,0,6,0,75,52
68,34,8,10,0,7,0,83,44
54,41,13,12,0,7,0,74,53
47,49,11,15,0,5,0,63,64
61,37,9,11,0,9,0,79,48
58,40,10,11,0,8,0,76,51
59,44,7,10,0,7,0,73,54
50,48,8,9,0,12,0,70,57
49,47,9,14,0,8,0,66,61
50,45,8,15,0,9,0,67,60
48,53,7,12,0,7,0,62,65
51,47,9,13,0,7,0,67,60
53,47,8,11,0,8,0,69,58
55,52,5,10,0,5,0,65,62
60,44,8,8,0,7,0,75,52
54,41,17,11,0,4,0,75,52
65,36,8,10,0,8,0,81,46
57,39,8,16,0,7,0,72,55
47,53,11,10,0,6,0,64,63
49,49,10,11,0,8,0,67,60
61,39,10,11,0,6,0,77,50
60,44,10,5,0,8,0,78,49
60,42,7,11,0,7,0,74,53
54,45,11,12,0,5,0,70,57
53,46,9,11,0,8,0,70,57
54,43,11,11,0,8,0,73,54
57,38,13,13,0,6,0,76,51
58,45,12,7,0,5,0,75,52
63,41,11,5,0,7,0,81,46
46,51,9,14,0,7,0,62,65
50,52,11,7,0,7,0,68,59
56,46,9,9,0,7,0,72,55
57,40,12,11,0,7,0,76,51
57,40,12,9,0,9,0,78,49
50,54,6,12,0,5,0,61,66
52,49,8,11,0,7,0,67,60
48,53,11,12,0,3,0,62,65
57,50,6,10,0,4,0,67,60
67,32,13,6,0,9,0,89,38
